Валюта,Курс,Код,Единиц
2022-11-21 13:06,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Валюта,Курс,Код,Единиц
2022-11-21 13:06,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Валюта,Курс,Код,Единиц
2022-11-21 13:08,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 13:13,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 13:18,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 13:18,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 13:20,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 13:20,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 13:21,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 14:11,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 14:12,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 14:12,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 14:16,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
,Азербайджанский манат,35.5142,AZN,1

Дата,Валюта,Курс,Код,Единиц
2022-11-21 14:23,доллар,60.37,USD,1
,Евро,62.44,EUR,1
,Казахстанский тенге,13.152,KZT,100
,Турецкая лира,3.2437,TRY,1
,Узбекский сум,53.8661,UZS,10000
